Az	az	DET	Definite=Def|PronType=Art	
AUDI	audi	NOUN	Case=Nom|Number=Sing	
Hungária	Hungária	PROPN	Case=Nom|Number=Sing	
Óvoda	óvoda	NOUN	Case=Nom|Number=Sing	
,	,	PUNCT	_	
Általános	Általános	PROPN	Case=Nom|Number=Sing	
Iskola	Iskola	PROPN	Case=Nom|Number=Sing	
és	és	CONJ	_	
Gimnázium	Gimnázium	PROPN	Case=Nom|Number=Sing	
konyha	konyha	NOUN	Case=Nom|Number=Sing	
és	és	CONJ	_	
étkezőjének	étkező	NOUN	Case=Gen|Number=Sing|Number[psor]=Sing|Person[psor]=3	
építése	építés	NOUN	Case=Nom|Number=Sing|Number[psor]=Sing|Person[psor]=3	

