Szolgáltatási	szolgáltatási	ADJ	Case=Nom|Degree=Pos|Number=Sing	
szerződés	szerződés	NOUN	Case=Nom|Number=Sing	
az	az	DET	Definite=Def|PronType=Art	
Ajánlatkérő	ajánlatkérő	NOUN	Case=Nom|Number=Sing	
telephelyeinek	telephely	NOUN	Case=Gen|Number=Plur|Number[psor]=Sing|Person[psor]=3	
takarítására	takarítás	NOUN	Case=Sub|Number=Sing|Number[psor]=Sing|Person[psor]=3	
,	,	PUNCT	_	
1	1	NUM	Case=Nom|NumType=Card|Number=Sing	
+	+	PUNCT	_	
1	1	NUM	Case=Nom|NumType=Card|Number=Sing	
évre	év	NOUN	Case=Sub|Number=Sing	
.	.	PUNCT	_	

