1.	1.	ADJ	Case=Nom|NumType=Ord|Number=Sing	
rész	rész	NOUN	Case=Nom|Number=Sing	
:	:	PUNCT	_	
A	a	DET	Definite=Def|PronType=Art	
Leszih	leszih	NOUN	Case=Nom|Number=Sing	
Óvoda	óvoda	NOUN	Case=Nom|Number=Sing	
energetikai	energetikai	ADJ	Case=Nom|Degree=Pos|Number=Sing	
korszerűsítése	korszerűsítés	NOUN	Case=Nom|Number=Sing|Number[psor]=Sing|Person[psor]=3	
a	a	DET	Definite=Def|PronType=Art	
TOP-6	TOP-6	PROPN	Case=Nom|Number=Sing	
.	.	PUNCT	_	

5	5	NUM	Case=Nom|NumType=Card|Number=Sing	
.	.	PUNCT	_	
1-16-MI1-2017-00020	1-16-MI1-2017-00020	PROPN	Case=Nom|Number=Sing	
pályázat	pályázat	NOUN	Case=Nom|Number=Sing	
keretén	keret	NOUN	Case=Sup|Number=Sing|Number[psor]=Sing|Person[psor]=3	
belül	belül	ADP	_	
2.	2.	ADJ	Case=Nom|NumType=Ord|Number=Sing	
rész	rész	NOUN	Case=Nom|Number=Sing	
:	:	PUNCT	_	
A	a	DET	Definite=Def|PronType=Art	
Belvárosi	Belvárosi	PROPN	Case=Nom|Number=Sing	
Óvoda	óvoda	NOUN	Case=Nom|Number=Sing	
energetikai	energetikai	ADJ	Case=Nom|Degree=Pos|Number=Sing	
korszerűsítése	korszerűsítés	NOUN	Case=Nom|Number=Sing|Number[psor]=Sing|Person[psor]=3	
a	a	DET	Definite=Def|PronType=Art	
TOP-6	TOP-6	PROPN	Case=Nom|Number=Sing	
.	.	PUNCT	_	

5	5	NUM	Case=Nom|NumType=Card|Number=Sing	
.	.	PUNCT	_	
1-16-MI1-2017-00012	1-16-MI1-2017-00012	PROPN	Case=Nom|Number=Sing	
pályázat	pályázat	NOUN	Case=Nom|Number=Sing	
keretén	keret	NOUN	Case=Sup|Number=Sing|Number[psor]=Sing|Person[psor]=3	
belül	belül	ADP	_	
3.	3.	ADJ	Case=Nom|NumType=Ord|Number=Sing	
rész	rész	NOUN	Case=Nom|Number=Sing	
:	:	PUNCT	_	
A	a	DET	Definite=Def|PronType=Art	
Mesevár	mesevár	NOUN	Case=Nom|Number=Sing	
Óvoda	óvoda	NOUN	Case=Nom|Number=Sing	
energetikai	energetikai	ADJ	Case=Nom|Degree=Pos|Number=Sing	
korszerűsítése	korszerűsítés	NOUN	Case=Nom|Number=Sing|Number[psor]=Sing|Person[psor]=3	
a	a	DET	Definite=Def|PronType=Art	
TOP-6	TOP-6	PROPN	Case=Nom|Number=Sing	
.	.	PUNCT	_	

5	5	NUM	Case=Nom|NumType=Card|Number=Sing	
.	.	PUNCT	_	
1-16-MI1-2017-00007	1-16-MI1-2017-00007	PROPN	Case=Nom|Number=Sing	
pályázat	pályázat	NOUN	Case=Nom|Number=Sing	
keretén	keret	NOUN	Case=Sup|Number=Sing|Number[psor]=Sing|Person[psor]=3	
belül	belül	ADP	_	
4.	4.	ADJ	Case=Nom|NumType=Ord|Number=Sing	
rész	rész	NOUN	Case=Nom|Number=Sing	
:	:	PUNCT	_	
A	a	DET	Definite=Def|PronType=Art	
Diósgyőri	diósgyőri	ADJ	Case=Nom|Degree=Pos|Number=Sing	
Óvoda	óvoda	NOUN	Case=Nom|Number=Sing	
energetikai	energetikai	ADJ	Case=Nom|Degree=Pos|Number=Sing	
korszerűsítése	korszerűsítés	NOUN	Case=Nom|Number=Sing|Number[psor]=Sing|Person[psor]=3	
a	a	DET	Definite=Def|PronType=Art	
TOP-6	TOP-6	PROPN	Case=Nom|Number=Sing	
.	.	PUNCT	_	

5	5	NUM	Case=Nom|NumType=Card|Number=Sing	
.	.	PUNCT	_	
1-16-MI1-2017-00009	1-16-MI1-2017-00009	PROPN	Case=Nom|Number=Sing	
pályázat	pályázat	NOUN	Case=Nom|Number=Sing	
keretén	keret	NOUN	Case=Sup|Number=Sing|Number[psor]=Sing|Person[psor]=3	
belül	belül	ADP	_	
5.	5.	ADJ	Case=Nom|NumType=Ord|Number=Sing	
rész	rész	NOUN	Case=Nom|Number=Sing	
:	:	PUNCT	_	
A	a	DET	Definite=Def|PronType=Art	
Százszorszép	százszorszép	NOUN	Case=Nom|Number=Sing	
Óvoda	óvoda	NOUN	Case=Nom|Number=Sing	
energetikai	energetikai	ADJ	Case=Nom|Degree=Pos|Number=Sing	
korszerűsítése	korszerűsítés	NOUN	Case=Nom|Number=Sing|Number[psor]=Sing|Person[psor]=3	
a	a	DET	Definite=Def|PronType=Art	
TOP-6	TOP-6	PROPN	Case=Nom|Number=Sing	
.	.	PUNCT	_	

5	5	NUM	Case=Nom|NumType=Card|Number=Sing	
.	.	PUNCT	_	
1-16-MI1-2017-00011	1-16-MI1-2017-00011	PROPN	Case=Nom|Number=Sing	
pályázat	pályázat	NOUN	Case=Nom|Number=Sing	
keretén	keret	NOUN	Case=Sup|Number=Sing|Number[psor]=Sing|Person[psor]=3	
belül	belül	ADP	_	

