Adásvételi	adásvételi	ADJ	Case=Nom|Degree=Pos|Number=Sing	
szerződés	szerződés	NOUN	Case=Nom|Number=Sing	
:	:	PUNCT	_	
Közúti	közúti	ADJ	Case=Nom|Degree=Pos|Number=Sing	
tehergépjárművek	tehergépjármű	NOUN	Case=Nom|Number=Plur	
cseréje	csere	NOUN	Case=Nom|Number=Sing|Number[psor]=Sing|Person[psor]=3	
tárgyban	tárgy	NOUN	Case=Ine|Number=Sing	
.	.	PUNCT	_	

1.	1.	ADJ	Case=Nom|NumType=Ord|Number=Sing	
rész	rész	NOUN	Case=Nom|Number=Sing	
:	:	PUNCT	_	
(	(	PUNCT	_	
N1	N1	PROPN	Case=Nom|Number=Sing	
)	)	PUNCT	_	
Közúti	közúti	ADJ	Case=Nom|Degree=Pos|Number=Sing	
tehergépjármű	tehergépjármű	NOUN	Case=Nom|Number=Sing	
platós	platós	ADJ	Case=Nom|Degree=Pos|Number=Sing	
,	,	PUNCT	_	
ponyvás	ponyvás	ADJ	Case=Nom|Degree=Pos|Number=Sing	
kivitelben	kivitel	NOUN	Case=Ine|Number=Sing	
2.	2.	ADJ	Case=Nom|NumType=Ord|Number=Sing	
rész	rész	NOUN	Case=Nom|Number=Sing	
:	:	PUNCT	_	
(	(	PUNCT	_	
N2	n2	PROPN	Case=Nom|Number=Sing	
)	)	PUNCT	_	
Közúti	közúti	ADJ	Case=Nom|Degree=Pos|Number=Sing	
tehergépjármű	tehergépjármű	NOUN	Case=Nom|Number=Sing	
platós	platós	ADJ	Case=Nom|Degree=Pos|Number=Sing	
,	,	PUNCT	_	
ponyvás	ponyvás	ADJ	Case=Nom|Degree=Pos|Number=Sing	
kivitelben	kivitel	NOUN	Case=Ine|Number=Sing	
3.	3.	ADJ	Case=Nom|NumType=Ord|Number=Sing	
rész	rész	NOUN	Case=Nom|Number=Sing	
:	:	PUNCT	_	
(	(	PUNCT	_	
N3	N3	PROPN	Case=Nom|Number=Sing	
)	)	PUNCT	_	
Közúti	közúti	ADJ	Case=Nom|Degree=Pos|Number=Sing	
bázisjármű	bázisjármű	NOUN	Case=Nom|Number=Sing	
autómentő	autómentő	NOUN	Case=Nom|Number=Sing	
felépítménnyel	felépítmény	NOUN	Case=Ins|Number=Sing	
4.	4.	ADJ	Case=Nom|NumType=Ord|Number=Sing	
rész	rész	NOUN	Case=Nom|Number=Sing	
:	:	PUNCT	_	
(	(	PUNCT	_	
N2	n2	PROPN	Case=Nom|Number=Sing	
)	)	PUNCT	_	
Közúti	közúti	ADJ	Case=Nom|Degree=Pos|Number=Sing	
tehergépjármű	tehergépjármű	NOUN	Case=Nom|Number=Sing	
platós	platós	ADJ	Case=Nom|Degree=Pos|Number=Sing	
ponyvás	ponyvás	ADJ	Case=Nom|Degree=Pos|Number=Sing	
kivitelben	kivitel	NOUN	Case=Ine|Number=Sing	
emelőhátfallal	emelőhátfal	NOUN	Case=Ins|Number=Sing	
5.	5.	ADJ	Case=Nom|NumType=Ord|Number=Sing	
rész	rész	NOUN	Case=Nom|Number=Sing	
:	:	PUNCT	_	
(	(	PUNCT	_	
N3	N3	PROPN	Case=Nom|Number=Sing	
)	)	PUNCT	_	
Közúti	közúti	ADJ	Case=Nom|Degree=Pos|Number=Sing	
tehergépjármű	tehergépjármű	NOUN	Case=Nom|Number=Sing	
platós	platós	ADJ	Case=Nom|Degree=Pos|Number=Sing	
ponyvás	ponyvás	ADJ	Case=Nom|Degree=Pos|Number=Sing	
kivitelben	kivitel	NOUN	Case=Ine|Number=Sing	
6.	6.	ADJ	Case=Nom|NumType=Ord|Number=Sing	
rész	rész	NOUN	Case=Nom|Number=Sing	
:	:	PUNCT	_	
(	(	PUNCT	_	
N3	N3	PROPN	Case=Nom|Number=Sing	
)	)	PUNCT	_	
Közúti	közúti	ADJ	Case=Nom|Degree=Pos|Number=Sing	
bázisjármű	bázisjármű	NOUN	Case=Nom|Number=Sing	
és	és	CONJ	_	
nyerges	nyerges	ADJ	Case=Nom|Degree=Pos|Number=Sing	
járműszerelvény	járműszerelvény	NOUN	Case=Nom|Number=Sing	
7.	7.	ADJ	Case=Nom|NumType=Ord|Number=Sing	
rész	rész	NOUN	Case=Nom|Number=Sing	
:	:	PUNCT	_	
(	(	PUNCT	_	
N3	N3	PROPN	Case=Nom|Number=Sing	
)	)	PUNCT	_	
Közúti	közúti	ADJ	Case=Nom|Degree=Pos|Number=Sing	
speciális	speciális	ADJ	Case=Nom|Degree=Pos|Number=Sing	
felépítményű	felépítményű	ADJ	Case=Nom|Degree=Pos|Number=Sing	
autómentő	autómentő	NOUN	Case=Nom|Number=Sing	

