1	1	NUM	Case=Nom|NumType=Card|Number=Sing	
db	db	NOUN	Case=Nom|Number=Sing	
Konfokális	Konfokális	ADJ	Case=Nom|Degree=Pos|Number=Sing	
és	és	CONJ	_	
STED	STED	PROPN	Case=Nom|Number=Sing	
szuperrezolúciós	szuperrezolúciós	ADJ	Case=Nom|Degree=Pos|Number=Sing	
mikroszkóprendszer	mikroszkóprendszer	NOUN	Case=Nom|Number=Sing	
beszerzése	beszerzés	NOUN	Case=Nom|Number=Sing|Number[psor]=Sing|Person[psor]=3	
adásvételi	adásvételi	ADJ	Case=Nom|Degree=Pos|Number=Sing	
szerződés	szerződés	NOUN	Case=Nom|Number=Sing	
keretében	keret	NOUN	Case=Ine|Number=Sing|Number[psor]=Sing|Person[psor]=3	
.	.	PUNCT	_	

