1-16	1-16	NUM	Case=Nom|NumType=Card|Number=Sing	
.	.	PUNCT	_	
részek	rész	NOUN	Case=Nom|Number=Plur	
vonatkozásában	vonatkozás	NOUN	Case=Ine|Number=Sing|Number[psor]=Sing|Person[psor]=3	
:	:	PUNCT	_	
Vállalkozási	Vállalkozási	PROPN	Case=Nom|Number=Sing	
keretszerződés	keretszerződés	NOUN	Case=Nom|Number=Sing	
gépi	gépi	ADJ	Case=Nom|Degree=Pos|Number=Sing	
-	-	PUNCT	_	
,	,	PUNCT	_	
kézi	kézi	ADJ	Case=Nom|Degree=Pos|Number=Sing	
-	-	PUNCT	_	
és	és	CONJ	_	
kerékpársáv	kerékpársáv	NOUN	Case=Nom|Number=Sing	
burkolatjel	burkolatjel	NOUN	Case=Nom|Number=Sing	
festési	festési	ADJ	Case=Nom|Degree=Pos|Number=Sing	
,	,	PUNCT	_	
valamint	valamint	CONJ	_	
burkolati	burkolati	ADJ	Case=Nom|Degree=Pos|Number=Sing	
jel	jel	NOUN	Case=Nom|Number=Sing	
eltávolítási	eltávolítási	ADJ	Case=Nom|Degree=Pos|Number=Sing	
munkáinak	munka	NOUN	Case=Gen|Number=Plur|Number[psor]=Sing|Person[psor]=3	
országos	országos	ADJ	Case=Nom|Degree=Pos|Number=Sing	
közutakon	közút	NOUN	Case=Sup|Number=Plur	
történő	történő	ADJ	Case=Nom|Degree=Pos|Number=Sing|VerbForm=PartPres	
elvégzésére	elvégzés	NOUN	Case=Sub|Number=Sing|Number[psor]=Sing|Person[psor]=3	
[	[	PUNCT	_	
gépi	gépi	ADJ	Case=Nom|Degree=Pos|Number=Sing	
festés	festés	NOUN	Case=Nom|Number=Sing	
keretében	keret	NOUN	Case=Ine|Number=Sing|Number[psor]=Sing|Person[psor]=3	
:	:	PUNCT	_	
hagyományos	hagyományos	ADJ	Case=Nom|Degree=Pos|Number=Sing	
,	,	PUNCT	_	
tartós	tartós	ADJ	Case=Nom|Degree=Pos|Number=Sing	
és	és	CONJ	_	
spray-plasztik	spray-plasztik	NOUN	Case=Nom|Number=Sing	
