A	a	DET	Definite=Def|PronType=Art	
Markusovszky	markusovszky	NOUN	Case=Nom|Number=Sing	
Egyetemi	egyetemi	ADJ	Case=Nom|Degree=Pos|Number=Sing	
Oktatókórház	oktatókórház	NOUN	Case=Nom|Number=Sing	
meglévő	meglévő	ADJ	Case=Nom|Degree=Pos|Number=Sing|VerbForm=PartPres	
és	és	CONJ	_	
működő	működő	ADJ	Case=Nom|Degree=Pos|Number=Sing|VerbForm=PartPres	
Philips	Philips	PROPN	Case=Nom|Number=Sing	
típusú	típusú	ADJ	Case=Nom|Degree=Pos|Number=Sing	
gépei	gép	NOUN	Case=Nom|Number=Plur|Number[psor]=Sing|Person[psor]=3	
karbantartási	karbantartási	ADJ	Case=Nom|Degree=Pos|Number=Sing	
szolgáltatásának	szolgáltatás	NOUN	Case=Gen|Number=Sing|Number[psor]=Sing|Person[psor]=3	
elvégzése	elvégzés	NOUN	Case=Nom|Number=Sing|Number[psor]=Sing|Person[psor]=3	

