A	a	DET	Definite=Def|PronType=Art	
Semmelweis	Semmelweis	PROPN	Case=Nom|Number=Sing	
Egyetem	Egyetem	PROPN	Case=Nom|Number=Sing	
,	,	PUNCT	_	
Anatómiai	anatómiai	ADJ	Case=Nom|Degree=Pos|Number=Sing	
,	,	PUNCT	_	
Szövet	szövet	NOUN	Case=Nom|Number=Sing	
-	-	PUNCT	_	
és	és	CONJ	_	
Fejlődéstani	fejlődéstani	ADJ	Case=Nom|Degree=Pos|Number=Sing	
Intézet	Intézet	PROPN	Case=Nom|Number=Sing	
,	,	PUNCT	_	
Humánmorfológiai	humánmorfológiai	ADJ	Case=Nom|Degree=Pos|Number=Sing	
és	és	CONJ	_	
Fejlődésbiológiai	fejlődésbiológiai	ADJ	Case=Nom|Degree=Pos|Number=Sing	
Intézet	Intézet	PROPN	Case=Nom|Number=Sing	
,	,	PUNCT	_	
MTA-KOKI	MTA-koki	NOUN	Case=Nom|Number=Sing	
Integratív	integratív	ADJ	Case=Nom|Degree=Pos|Number=Sing	
Neuroendokrinológiai	Neuroendokrinológiai	ADJ	Case=Nom|Degree=Pos|Number=Sing	
Kutatócsoport	kutatócsoport	NOUN	Case=Nom|Number=Sing	
részére	részére	ADP	_	
1	1	NUM	Case=Nom|NumType=Card|Number=Sing	
db	db	NOUN	Case=Nom|Number=Sing	
konfokális	konfokális	ADJ	Case=Nom|Degree=Pos|Number=Sing	
lézerpásztázó	lézerpásztázó	ADJ	Case=Nom|Degree=Pos|Number=Sing	
mikroszkóp	mikroszkóp	NOUN	Case=Nom|Number=Sing	
beszerzése	beszerzés	NOUN	Case=Nom|Number=Sing|Number[psor]=Sing|Person[psor]=3	
és	és	CONJ	_	
karbantartása	karbantartás	NOUN	Case=Nom|Number=Sing|Number[psor]=Sing|Person[psor]=3	
.	.	PUNCT	_	

