I.	1.	ADJ	Case=Nom|NumType=Ord|Number=Sing	
rész	rész	NOUN	Case=Nom|Number=Sing	
:	:	PUNCT	_	
Keretmegállapodás	keretmegállapodás	NOUN	Case=Nom|Number=Sing	
a	a	DET	Definite=Def|PronType=Art	
Budapest	Budapest	PROPN	Case=Nom|Number=Sing	
Főváros	főváros	NOUN	Case=Nom|Number=Sing	
XIII	13	NUM	Case=Nom|NumType=Card|Number=Sing	
.	.	PUNCT	_	

Kerületi	Kerületi	PROPN	Case=Nom|Number=Sing	
Önkormányzata	Önkormányzata	PROPN	Case=Nom|Number=Sing	
tulajdonában	tulajdon	NOUN	Case=Ine|Number=Sing|Number[psor]=Sing|Person[psor]=3	
lévő	lévő	ADJ	Case=Nom|Degree=Pos|Number=Sing|VerbForm=PartPres	
lakóépületek	lakóépület	NOUN	Case=Nom|Number=Plur	
,	,	PUNCT	_	
intézmények	intézmény	NOUN	Case=Nom|Number=Plur	
,	,	PUNCT	_	
lakások	lakás	NOUN	Case=Nom|Number=Plur	
és	és	CONJ	_	
nem	nem	ADV	PronType=Neg	
lakás	lakás	NOUN	Case=Nom|Number=Sing	
céljára	cél	NOUN	Case=Sub|Number=Sing|Number[psor]=Sing|Person[psor]=3	
szolgáló	szolgáló	ADJ	Case=Nom|Degree=Pos|Number=Sing|VerbForm=PartPres	
épületek	épület	NOUN	Case=Nom|Number=Plur	
,	,	PUNCT	_	
helyiségek	helyiség	NOUN	Case=Nom|Number=Plur	
nettó	nettó	NOUN	Case=Nom|Number=Sing	
5	5	NUM	Case=Nom|NumType=Card|Number=Sing	
000	000	NUM	Case=Nom|NumType=Card|Number=Sing	
000	000	NUM	Case=Nom|NumType=Card|Number=Sing	
HUF	HUF	PROPN	Case=Nom|Number=Sing	
feletti	feletti	ADJ	Case=Nom|Degree=Pos|Number=Sing	
értékű	értékű	ADJ	Case=Nom|Degree=Pos|Number=Sing	
felújítási	felújítási	ADJ	Case=Nom|Degree=Pos|Number=Sing	
,	,	PUNCT	_	
karbantartási	karbantartási	ADJ	Case=Nom|Degree=Pos|Number=Sing	
és	és	CONJ	_	
bontási	bontási	ADJ	Case=Nom|Degree=Pos|Number=Sing	
munkálatainak	munkálat	NOUN	Case=Gen|Number=Plur|Number[psor]=Sing|Person[psor]=3	
elvégzésére	elvégzés	NOUN	Case=Sub|Number=Sing|Number[psor]=Sing|Person[psor]=3	
a	a	DET	Definite=Def|PronType=Art	
közbeszerzési	közbeszerzési	ADJ	Case=Nom|Degree=Pos|Number=Sing	
dokumentumban	dokumentum	NOUN	Case=Ine|Number=Sing	
részletezettek	részletezett	NOUN	Case=Nom|Number=Plur	
szerint	szerint	ADP	_	
.	.	PUNCT	_	

II	II	PROPN	Case=Nom|Number=Sing	
.	.	PUNCT	_	
rész	rész	NOUN	Case=Nom|Number=Sing	
:	:	PUNCT	_	
Keretmegállapodás	keretmegállapodás	NOUN	Case=Nom|Number=Sing	
a	a	DET	Definite=Def|PronType=Art	
Budapest	Budapest	PROPN	Case=Nom|Number=Sing	
Főváros	főváros	NOUN	Case=Nom|Number=Sing	
XIII	13	NUM	Case=Nom|NumType=Card|Number=Sing	
.	.	PUNCT	_	

Kerületi	Kerületi	PROPN	Case=Nom|Number=Sing	
Önkormányzata	Önkormányzata	PROPN	Case=Nom|Number=Sing	
tulajdonában	tulajdon	NOUN	Case=Ine|Number=Sing|Number[psor]=Sing|Person[psor]=3	
lévő	lévő	ADJ	Case=Nom|Degree=Pos|Number=Sing|VerbForm=PartPres	
lakóépületek	lakóépület	NOUN	Case=Nom|Number=Plur	
,	,	PUNCT	_	
intézmények	intézmény	NOUN	Case=Nom|Number=Plur	
,	,	PUNCT	_	
lakások	lakás	NOUN	Case=Nom|Number=Plur	
és	és	CONJ	_	
nem	nem	ADV	PronType=Neg	
lakás	lakás	NOUN	Case=Nom|Number=Sing	
céljára	cél	NOUN	Case=Sub|Number=Sing|Number[psor]=Sing|Person[psor]=3	
szolgáló	szolgáló	ADJ	Case=Nom|Degree=Pos|Number=Sing|VerbForm=PartPres	
épületek	épület	NOUN	Case=Nom|Number=Plur	
,	,	PUNCT	_	
helyiségek	helyiség	NOUN	Case=Nom|Number=Plur	
nettó	nettó	NOUN	Case=Nom|Number=Sing	
5	5	NUM	Case=Nom|NumType=Card|Number=Sing	
000	000	NUM	Case=Nom|NumType=Card|Number=Sing	
000	000	NUM	Case=Nom|NumType=Card|Number=Sing	
HUF-ig	HUF	NOUN	Case=Ter|Number=Sing	
terjedő	terjedő	ADJ	Case=Nom|Degree=Pos|Number=Sing|VerbForm=PartPres	
értékű	értékű	ADJ	Case=Nom|Degree=Pos|Number=Sing	
felújítási	felújítási	ADJ	Case=Nom|Degree=Pos|Number=Sing	
,	,	PUNCT	_	
karbantartási	karbantartási	ADJ	Case=Nom|Degree=Pos|Number=Sing	
és	és	CONJ	_	
bontási	bontási	ADJ	Case=Nom|Degree=Pos|Number=Sing	
munkálatainak	munkálat	NOUN	Case=Gen|Number=Plur|Number[psor]=Sing|Person[psor]=3	
elvégzésére	elvégzés	NOUN	Case=Sub|Number=Sing|Number[psor]=Sing|Person[psor]=3	
a	a	DET	Definite=Def|PronType=Art	
közbeszerzési	közbeszerzési	ADJ	Case=Nom|Degree=Pos|Number=Sing	
dokumentumban	dokumentum	NOUN	Case=Ine|Number=Sing	
részletezettek	részletezett	NOUN	Case=Nom|Number=Plur	
szerint	szerint	ADP	_	
.	.	PUNCT	_	

