Az	az	DET	Definite=Def|PronType=Art	
Észak-Közép-budai	Észak-Közép-budai	NOUN	Case=Nom|Number=Sing	
Centrum	Centrum	PROPN	Case=Nom|Number=Sing	
Új	Új	PROPN	Case=Nom|Number=Sing	
Szent	Szent	PROPN	Case=Nom|Number=Sing	
János	János	PROPN	Case=Nom|Number=Sing	
Kórház	Kórház	PROPN	Case=Nom|Number=Sing	
és	és	CONJ	_	
Szakrendelő	szakrendelő	NOUN	Case=Nom|Number=Sing	
-	-	PUNCT	_	
Rendelőintézet	rendelőintézet	NOUN	Case=Nom|Number=Sing	
fejlesztése	fejlesztés	NOUN	Case=Nom|Number=Sing|Number[psor]=Sing|Person[psor]=3	
-	-	PUNCT	_	
tervezés	tervezés	NOUN	Case=Nom|Number=Sing	

