A	a	DET	Definite=Def|PronType=Art	
Lenti	lenti	NOUN	Case=Nom|Number=Sing	
Termálfürdő	termálfürdő	NOUN	Case=Nom|Number=Sing	
és	és	CONJ	_	
Szent	Szent	PROPN	Case=Nom|Number=Sing	
György	György	PROPN	Case=Nom|Number=Sing	
Energiapark	energiapark	NOUN	Case=Nom|Number=Sing	
fejlesztésének	fejlesztés	NOUN	Case=Gen|Number=Sing|Number[psor]=Sing|Person[psor]=3	
előkészítéséhez	előkészítés	NOUN	Case=All|Number=Sing|Number[psor]=Sing|Person[psor]=3	
szükséges	szükséges	ADJ	Case=Nom|Degree=Pos|Number=Sing	
engedélyezési	engedélyezési	ADJ	Case=Nom|Degree=Pos|Number=Sing	
és	és	CONJ	_	
kivitelezési	kivitelezési	ADJ	Case=Nom|Degree=Pos|Number=Sing	
tervdokumentáció	tervdokumentáció	NOUN	Case=Nom|Number=Sing	
elkészítése	elkészítés	NOUN	Case=Nom|Number=Sing|Number[psor]=Sing|Person[psor]=3	
,	,	PUNCT	_	
tervezési	tervezési	ADJ	Case=Nom|Degree=Pos|Number=Sing	
szerződés	szerződés	NOUN	Case=Nom|Number=Sing	
keretében	keret	NOUN	Case=Ine|Number=Sing|Number[psor]=Sing|Person[psor]=3	
.	.	PUNCT	_	

