A	a	DET	Definite=Def|PronType=Art	
Magyar	Magyar	PROPN	Case=Nom|Number=Sing	
Közút	közút	NOUN	Case=Nom|Number=Sing	
Nonprofit	nonprofit	ADJ	Case=Nom|Degree=Pos|Number=Sing	
Zrt.	Zrt.	PROPN	Case=Nom|Number=Sing	
2018.	2018.	ADJ	Case=Nom|NumType=Ord|Number=Sing	
évi	évi	ADJ	Case=Nom|Degree=Pos|Number=Sing	
villamosenergia	villamosenergia	NOUN	Case=Nom|Number=Sing	
beszerzése	beszerzés	NOUN	Case=Nom|Number=Sing|Number[psor]=Sing|Person[psor]=3	
.	.	PUNCT	_	

