A	a	DET	Definite=Def|PronType=Art	
belügyminiszter	belügyminiszter	NOUN	Case=Nom|Number=Sing	
irányítása	irányítás	NOUN	Case=Nom|Number=Sing|Number[psor]=Sing|Person[psor]=3	
alá	alá	ADP	_	
tartozó	tartozó	ADJ	Case=Nom|Degree=Pos|Number=Sing|VerbForm=PartPres	
szervek	szerv	NOUN	Case=Nom|Number=Plur	
tulajdonában	tulajdon	NOUN	Case=Ine|Number=Sing|Number[psor]=Sing|Person[psor]=3	
,	,	PUNCT	_	
vagyonkezelésében	vagyonkezelés	NOUN	Case=Ine|Number=Sing|Number[psor]=Sing|Person[psor]=3	
és	és	CONJ	_	
használatában	használat	NOUN	Case=Ine|Number=Sing|Number[psor]=Sing|Person[psor]=3	
lévő	lévő	ADJ	Case=Nom|Degree=Pos|Number=Sing|VerbForm=PartPres	
gépjárművek	gépjármű	NOUN	Case=Nom|Number=Plur	
kötelező	kötelező	ADJ	Case=Nom|Degree=Pos|Number=Sing	
felelősségbiztosítása	felelősségbiztosítás	NOUN	Case=Nom|Number=Sing|Number[psor]=Sing|Person[psor]=3	
.	.	PUNCT	_	

