Az	az	DET	Definite=Def|PronType=Art	
ajánlatkérő	ajánlatkérő	NOUN	Case=Nom|Number=Sing	
tulajdonában	tulajdon	NOUN	Case=Ine|Number=Sing|Number[psor]=Sing|Person[psor]=3	
álló	álló	ADJ	Case=Nom|Degree=Pos|Number=Sing|VerbForm=PartPres	
és	és	CONJ	_	
alkalmazott	alkalmazott	ADJ	Case=Nom|Degree=Pos|Number=Sing|VerbForm=PartPast	
SC-201	SC-201	PROPN	Case=Nom|Number=Sing	
AH	AH	PROPN	Case=Nom|Number=Sing	
és	és	CONJ	_	
SC-203	SC-203	PROPN	Case=Nom|Number=Sing	
AH	AH	PROPN	Case=Nom|Number=Sing	
típusú	típusú	ADJ	Case=Nom|Degree=Pos|Number=Sing	
TSCD	TSCD	PROPN	Case=Nom|Number=Sing	
(	(	PUNCT	_	
gyártó	gyártó	NOUN	Case=Nom|Number=Sing	
:	:	PUNCT	_	
Terumo	Terumo	PROPN	Case=Nom|Number=Sing	
BCT	BCT	PROPN	Case=Nom|Number=Sing	
,	,	PUNCT	_	
Inc	Inc	PROPN	Case=Nom|Number=Sing	
.	.	PUNCT	_	
,	,	PUNCT	_	

10811	10811	NUM	Case=Nom|NumType=Card|Number=Sing	
West	west	NOUN	Case=Nom|Number=Sing	
Collins	Collins	PROPN	Case=Nom|Number=Sing	
Avenue	Avenue	PROPN	Case=Nom|Number=Sing	
,	,	PUNCT	_	
Lakewood	lakewood	NOUN	Case=Nom|Number=Sing	
,	,	PUNCT	_	
Colorado	Colorado	PROPN	Case=Nom|Number=Sing	
,	,	PUNCT	_	
80215	80215	NUM	Case=Nom|NumType=Card|Number=Sing	
USA	USA	PROPN	Case=Nom|Number=Sing	
)	)	PUNCT	_	
csőszakaszokat	csőszakasz	NOUN	Case=Acc|Number=Plur	
sterilen	sterilen	ADJ	Case=Ess|Degree=Pos|Number=Sing	
egyesítő	egyesítő	ADJ	Case=Nom|Degree=Pos|Number=Sing|VerbForm=PartPres	
készülékekkel	készülék	NOUN	Case=Ins|Number=Plur	
kompatibilis	kompatibilis	ADJ	Case=Nom|Degree=Pos|Number=Sing	
vágópengék	vágópenge	NOUN	Case=Nom|Number=Plur	
beszerzése	beszerzés	NOUN	Case=Nom|Number=Sing|Number[psor]=Sing|Person[psor]=3	

