„	„	PUNCT	_	
udvara	udvar	NOUN	Case=Nom|Number=Sing|Number[psor]=Sing|Person[psor]=3	
.	.	PUNCT	_	

Mennyiség	mennyiség	NOUN	Case=Nom|Number=Sing	
:	:	PUNCT	_	
padlófelület	padlófelület	NOUN	Case=Nom|Number=Sing	
bruttó	bruttó	ADJ	Case=Nom|Degree=Pos|Number=Sing	
1554	1554	NUM	Case=Nom|NumType=Card|Number=Sing	
m2	m2	NUM	Case=Nom|NumType=Card|Number=Sing	
,	,	PUNCT	_	
ablakfelület	ablakfelület	NOUN	Case=Nom|Number=Sing	
1600	1600	NUM	Case=Nom|NumType=Card|Number=Sing	
m2	m2	NUM	Case=Nom|NumType=Card|Number=Sing	
,	,	PUNCT	_	
a	a	DET	Definite=Def|PronType=Art	
belső	belső	ADJ	Case=Nom|Degree=Pos|Number=Sing	
udvar	udvar	NOUN	Case=Nom|Number=Sing	
270	270	NUM	Case=Nom|NumType=Card|Number=Sing	
m2	m2	NUM	Case=Nom|NumType=Card|Number=Sing	
,	,	PUNCT	_	
az	az	DET	Definite=Def|PronType=Art	
utcai	utcai	ADJ	Case=Nom|Degree=Pos|Number=Sing	
járda	járda	NOUN	Case=Nom|Number=Sing	
hossza	hossz	NOUN	Case=Nom|Number=Sing|Number[psor]=Sing|Person[psor]=3	
26	26	NUM	Case=Nom|NumType=Card|Number=Sing	
m.	m.	SCONJ	_	
3.	3.	ADJ	Case=Nom|NumType=Ord|Number=Sing	
rész	rész	NOUN	Case=Nom|Number=Sing	
:	:	PUNCT	_	
A	a	DET	Definite=Def|PronType=Art	
BvOP	BvOP	PROPN	Case=Nom|Number=Sing	
által	által	ADP	_	
üzemeltetett	üzemeltetett	ADJ	Case=Nom|Degree=Pos|Number=Sing|VerbForm=PartPast	
Budapest	Budapest	PROPN	Case=Nom|Number=Sing	
,	,	PUNCT	_	
X.	10.	ADJ	Case=Nom|NumType=Ord|Number=Sing	
ker.	ker.	NOUN	Case=Nom|Number=Sing	
Újhegyi	újhegyi	ADJ	Case=Nom|Degree=Pos|Number=Sing	
út	út	NOUN	Case=Nom|Number=Sing	
9.	9.	ADJ	Case=Nom|NumType=Ord|Number=Sing	
szám	szám	NOUN	Case=Nom|Number=Sing	
alatt	alatt	ADP	_	
található	található	ADJ	Case=Nom|Degree=Pos|Number=Sing|VerbForm=PartPres	
2	2	NUM	Case=Nom|NumType=Card|Number=Sing	
db	db	NOUN	Case=Nom|Number=Sing	
iroda	iroda	NOUN	Case=Nom|Number=Sing	
takarításainak	takarítás	NOUN	Case=Gen|Number=Plur|Number[psor]=Sing|Person[psor]=3	
elvégzése	elvégzés	NOUN	Case=Nom|Number=Sing|Number[psor]=Sing|Person[psor]=3	
.	.	PUNCT	_	

Mennyiség	mennyiség	NOUN	Case=Nom|Number=Sing	
:	:	PUNCT	_	
padlófelület	padlófelület	NOUN	Case=Nom|Number=Sing	
bruttó	bruttó	ADJ	Case=Nom|Degree=Pos|Number=Sing	
70	70	NUM	Case=Nom|NumType=Card|Number=Sing	
m2	m2	NUM	Case=Nom|NumType=Card|Number=Sing	
,	,	PUNCT	_	
ablakfelület	ablakfelület	NOUN	Case=Nom|Number=Sing	
35	35	NUM	Case=Nom|NumType=Card|Number=Sing	
m2	m2	NOUN	Case=Nom|Number=Sing	
.	.	PUNCT	_	

A	a	DET	Definite=Def|PronType=Art	
részletes	részletes	ADJ	Case=Nom|Degree=Pos|Number=Sing	
elvárásokat	elvárás	NOUN	Case=Acc|Number=Plur	
a	a	DET	Definite=Def|PronType=Art	
kiegészítő	kiegészítő	ADJ	Case=Nom|Degree=Pos|Number=Sing|VerbForm=PartPres	
közbeszerzési	közbeszerzési	ADJ	Case=Nom|Degree=Pos|Number=Sing	
dokumentum	dokumentum	NOUN	Case=Nom|Number=Sing	
(	(	PUNCT	_	
KKD	KKD	PROPN	Case=Nom|Number=Sing	
)	)	PUNCT	_	
tartalmazza	tartalmaz	VERB	Definite=Def|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act	
.	.	PUNCT	_	

