A	a	DET	Definite=Def|PronType=Art	
Budapest	Budapest	PROPN	Case=Nom|Number=Sing	
XIII	13	NUM	Case=Nom|NumType=Card|Number=Sing	
.	.	PUNCT	_	
kerület	kerület	NOUN	Case=Nom|Number=Sing	
Jász	jász	ADJ	Case=Nom|Degree=Pos|Number=Sing	
utca	utca	NOUN	Case=Nom|Number=Sing	
72.	72.	ADJ	Case=Nom|NumType=Ord|Number=Sing	
szám	szám	NOUN	Case=Nom|Number=Sing	
alatti	alatti	ADJ	Case=Nom|Degree=Pos|Number=Sing	
26354	26354	NUM	Case=Nom|NumType=Card|Number=Sing	
helyrajzi	helyrajzi	ADJ	Case=Nom|Degree=Pos|Number=Sing	
számú	számú	ADJ	Case=Nom|Degree=Pos|Number=Sing	
telken	telek	NOUN	Case=Sup|Number=Sing	
új	új	ADJ	Case=Nom|Degree=Pos|Number=Sing	
35	35	NUM	Case=Nom|NumType=Card|Number=Sing	
lakásos	lakásos	ADJ	Case=Nom|Degree=Pos|Number=Sing	
önkormányzati	önkormányzati	ADJ	Case=Nom|Degree=Pos|Number=Sing	
lakóépület	lakóépület	NOUN	Case=Nom|Number=Sing	
kivitelezése	kivitelezés	NOUN	Case=Nom|Number=Sing|Number[psor]=Sing|Person[psor]=3	

